Fila,n,C(n)
FLEV3,162,648
FLEV4,162,1293
FLC,163,163
FLEV1,163,488
FLEV2,163,489
FLEV3,163,652
FLEV4,163,1301
FLC,164,164
FLEV1,164,491
FLEV2,164,492
FLEV3,164,656
FLEV4,164,1309
FLC,165,165
FLEV1,165,494
FLEV2,165,495
FLEV3,165,660
FLEV4,165,1317
FLC,166,166
FLEV1,166,497
FLEV2,166,498
FLEV3,166,664
FLEV4,166,1325
FLC,167,167
FLEV1,167,500
FLEV2,167,501
FLEV3,167,668
FLEV4,167,1333
FLC,168,168
FLEV1,168,503
FLEV2,168,504
FLEV3,168,672
FLEV4,168,1341
FLC,169,169
FLEV1,169,506
FLEV2,169,507
FLEV3,169,676
FLEV4,169,1349
FLC,170,170
FLEV1,170,509
FLEV2,170,510
FLEV3,170,680
FLEV4,170,1357
FLC,171,171
FLEV1,171,512
FLEV2,171,513
FLEV3,171,684
FLEV4,171,1365
FLC,172,172
FLEV1,172,515
FLEV2,172,516
FLEV3,172,688
FLEV4,172,1373
FLC,173,173
FLEV1,173,518
FLEV2,173,519
FLEV3,173,692
FLEV4,173,1381
FLC,174,174
FLEV1,174,521
FLEV2,174,522
FLEV3,174,696
FLEV4,174,1389
FLC,175,175
FLEV1,175,524
FLEV2,175,525
FLEV3,175,700
FLEV4,175,1397
FLC,176,176
FLEV1,176,527
FLEV2,176,528
FLEV3,176,704
FLEV4,176,1405
FLC,177,177
FLEV1,177,530
FLEV2,177,531
FLEV3,177,708
FLEV4,177,1413
FLC,178,178
FLEV1,178,533
FLEV2,178,534
FLEV3,178,712
FLEV4,178,1421
FLC,179,179
FLEV1,179,536
FLEV2,179,537
FLEV3,179,716
FLEV4,179,1429
FLC,180,180
FLEV1,180,539
FLEV2,180,540
FLEV3,180,720
FLEV4,180,1437
FLC,181,181
FLEV1,181,542
FLEV2,181,543
FLEV3,181,724
FLEV4,181,1445
FLC,182,182
FLEV1,182,545
FLEV2,182,546
FLEV3,182,728
FLEV4,182,1453
FLC,183,183
FLEV1,183,548
FLEV2,183,549
FLEV3,183,732
FLEV4,183,1461
FLC,184,184
FLEV1,184,551
FLEV2,184,552
FLEV3,184,736
FLEV4,184,1469
FLC,185,185
FLEV1,185,554
FLEV2,185,555
FLEV3,185,740
FLEV4,185,1477
FLC,186,186
FLEV1,186,557
FLEV2,186,558
FLEV3,186,744
FLEV4,186,1485
FLC,187,187
FLEV1,187,560
FLEV2,187,561
FLEV3,187,748
FLEV4,187,1493
FLC,188,188
FLEV1,188,563
FLEV2,188,564
FLEV3,188,752
FLEV4,188,1501
FLC,189,189
FLEV1,189,566
FLEV2,189,567
FLEV3,189,756
FLEV4,189,1509
FLC,190,190
FLEV1,190,569
FLEV2,190,570
FLEV3,190,760
FLEV4,190,1517
FLC,191,191
FLEV1,191,572
FLEV2,191,573
FLEV3,191,764
FLEV4,191,1525
FLC,192,192
FLEV1,192,575
FLEV2,192,576
FLEV3,192,768
FLEV4,192,1533
FLC,193,193
FLEV1,193,578
FLEV2,193,579
FLEV3,193,772
FLEV4,193,1541
FLC,194,194
FLEV1,194,581
FLEV2,194,582
FLEV3,194,776
FLEV4,194,1549
FLC,195,195
FLEV1,195,584
FLEV2,195,585
FLEV3,195,780
FLEV4,195,1557
FLC,196,196
FLEV1,196,587
FLEV2,196,588
FLEV3,196,784
FLEV4,196,1565
FLC,197,197
FLEV1,197,590
FLEV2,197,591
FLEV3,197,788
FLEV4,197,1573
FLC,198,198
FLEV1,198,593
FLEV2,198,594
FLEV3,198,792
FLEV4,198,1581
FLC,199,199
FLEV1,199,596
FLEV2,199,597
FLEV3,199,796
FLEV4,199,1589
FLC,200,200
FLEV1,200,599
FLEV2,200,600
FLEV3,200,800
FLEV4,200,1597
FLC,201,201
FLEV1,201,602
FLEV2,201,603
FLEV3,201,804
FLEV4,201,1605
FLC,202,202
FLEV1,202,605
FLEV2,202,606
FLEV3,202,808
FLEV4,202,1613
FLC,203,203
FLEV1,203,608
FLEV2,203,609
FLEV3,203,812
FLEV4,203,1621
FLC,204,204
FLEV1,204,611
FLEV2,204,612
FLEV3,204,816
FLEV4,204,1629
FLC,205,205
FLEV1,205,614
FLEV2,205,615
FLEV3,205,820
FLEV4,205,1637
FLC,206,206
FLEV1,206,617
FLEV2,206,618
FLEV3,206,824
FLEV4,206,1645
FLC,207,207
FLEV1,207,620
FLEV2,207,621
FLEV3,207,828
FLEV4,207,1653
FLC,208,208
FLEV1,208,623
FLEV2,208,624
FLEV3,208,832
FLEV4,208,1661
FLC,209,209
FLEV1,209,626
FLEV2,209,627
FLEV3,209,836
FLEV4,209,1669
FLC,210,210
FLEV1,210,629
FLEV2,210,630
FLEV3,210,840
FLEV4,210,1677
FLC,211,211
FLEV1,211,632
FLEV2,211,633
FLEV3,211,844
FLEV4,211,1685
FLC,212,212
FLEV1,212,635
FLEV2,212,636
FLEV3,212,848
FLEV4,212,1693
FLC,213,213
FLEV1,213,638
FLEV2,213,639
FLEV3,213,852
FLEV4,213,1701
FLC,214,214
FLEV1,214,641
FLEV2,214,642
FLEV3,214,856
FLEV4,214,1709
FLC,215,215
FLEV1,215,644
FLEV2,215,645
FLEV3,215,860
FLEV4,215,1717
FLC,216,216
FLEV1,216,647
FLEV2,216,648
FLEV3,216,864
FLEV4,216,1725
FLC,217,217
FLEV1,217,650
FLEV2,217,651
FLEV3,217,868
FLEV4,217,1733
FLC,218,218
FLEV1,218,653
FLEV2,218,654
FLEV3,218,872
FLEV4,218,1741
FLC,219,219
FLEV1,219,656
FLEV2,219,657
FLEV3,219,876
FLEV4,219,1749
FLC,220,220
FLEV1,220,659
FLEV2,220,660
FLEV3,220,880
FLEV4,220,1757
FLC,221,221
FLEV1,221,662
FLEV2,221,663
FLEV3,221,884
FLEV4,221,1765
FLC,222,222
FLEV1,222,665
FLEV2,222,666
FLEV3,222,888
FLEV4,222,1773
FLC,223,223
FLEV1,223,668
FLEV2,223,669
FLEV3,223,892
FLEV4,223,1781
FLC,224,224
FLEV1,224,671
FLEV2,224,672
FLEV3,224,896
FLEV4,224,1789
FLC,225,225
FLEV1,225,674
FLEV2,225,675
FLEV3,225,900
FLEV4,225,1797
FLC,226,226
FLEV1,226,677
FLEV2,226,678
FLEV3,226,904
FLEV4,226,1805
FLC,227,227
FLEV1,227,680
FLEV2,227,681
FLEV3,227,908
FLEV4,227,1813
FLC,228,228
FLEV1,228,683
FLEV2,228,684
FLEV3,228,912
FLEV4,228,1821
FLC,229,229
FLEV1,229,686
FLEV2,229,687
FLEV3,229,916
FLEV4,229,1829
FLC,230,230
FLEV1,230,689
FLEV2,230,690
FLEV3,230,920
FLEV4,230,1837
FLC,231,231
FLEV1,231,692
FLEV2,231,693
FLEV3,231,924
FLEV4,231,1845
FLC,232,232
FLEV1,232,695
FLEV2,232,696
FLEV3,232,928
FLEV4,232,1853
FLC,233,233
FLEV1,233,698
FLEV2,233,699
FLEV3,233,932
FLEV4,233,1861
FLC,234,234
FLEV1,234,701
FLEV2,234,702
FLEV3,234,936
FLEV4,234,1869
FLC,235,235
FLEV1,235,704
FLEV2,235,705
FLEV3,235,940
FLEV4,235,1877
FLC,236,236
FLEV1,236,707
FLEV2,236,708
FLEV3,236,944
FLEV4,236,1885
FLC,237,237
FLEV1,237,710
FLEV2,237,711
FLEV3,237,948
FLEV4,237,1893
FLC,238,238
FLEV1,238,713
FLEV2,238,714
FLEV3,238,952
FLEV4,238,1901
FLC,239,239
FLEV1,239,716
FLEV2,239,717
FLEV3,239,956
FLEV4,239,1909
FLC,240,240
FLEV1,240,719
FLEV2,240,720
FLEV3,240,960
FLEV4,240,1917
FLC,241,241
FLEV1,241,722
FLEV2,241,723
FLEV3,241,964
FLEV4,241,1925
FLC,242,242
FLEV1,242,725
FLEV2,242,726
FLEV3,242,968
FLEV4,242,1933
FLC,243,243
FLEV1,243,728
FLEV2,243,729
FLEV3,243,972
FLEV4,243,1941
FLC,244,244
FLEV1,244,731
FLEV2,244,732
FLEV3,244,976
FLEV4,244,1949
FLC,245,245
FLEV1,245,734
FLEV2,245,735
FLEV3,245,980
FLEV4,245,1957
FLC,246,246
FLEV1,246,737
FLEV2,246,738
FLEV3,246,984
FLEV4,246,1965
FLC,247,247
FLEV1,247,740
FLEV2,247,741
FLEV3,247,988
FLEV4,247,1973
FLC,248,248
FLEV1,248,743
FLEV2,248,744
FLEV3,248,992
FLEV4,248,1981
FLC,249,249
FLEV1,249,746
FLEV2,249,747
FLEV3,249,996
FLEV4,249,1989
FLC,250,250
FLEV1,250,749
FLEV2,250,750
FLEV3,250,1000
FLEV4,250,1997
FLC,251,251
FLEV1,251,752
FLEV2,251,753
FLEV3,251,1004
FLEV4,251,2005
FLC,252,252
FLEV1,252,755
FLEV2,252,756
FLEV3,252,1008
FLEV4,252,2013
FLC,253,253
FLEV1,253,758
FLEV2,253,759
FLEV3,253,1012
FLEV4,253,2021
FLC,254,254
FLEV1,254,761
FLEV2,254,762
FLEV3,254,1016
FLEV4,254,2029
FLC,255,255
