Fila,n,C(n)
FLEV3,4373,17492
FLEV4,4373,34981
FLC,4374,4374
FLEV1,4374,13121
FLEV2,4374,13122
FLEV3,4374,17496
FLEV4,4374,34989
FLC,4375,4375
FLEV1,4375,13124
FLEV2,4375,13125
FLEV3,4375,17500
FLEV4,4375,34997
FLC,4376,4376
FLEV1,4376,13127
FLEV2,4376,13128
FLEV3,4376,17504
FLEV4,4376,35005
FLC,4377,4377
FLEV1,4377,13130
FLEV2,4377,13131
FLEV3,4377,17508
FLEV4,4377,35013
FLC,4378,4378
FLEV1,4378,13133
FLEV2,4378,13134
FLEV3,4378,17512
FLEV4,4378,35021
FLC,4379,4379
FLEV1,4379,13136
FLEV2,4379,13137
FLEV3,4379,17516
FLEV4,4379,35029
FLC,4380,4380
FLEV1,4380,13139
FLEV2,4380,13140
FLEV3,4380,17520
FLEV4,4380,35037
FLC,4381,4381
FLEV1,4381,13142
FLEV2,4381,13143
FLEV3,4381,17524
FLEV4,4381,35045
FLC,4382,4382
FLEV1,4382,13145
FLEV2,4382,13146
FLEV3,4382,17528
FLEV4,4382,35053
FLC,4383,4383
FLEV1,4383,13148
FLEV2,4383,13149
FLEV3,4383,17532
FLEV4,4383,35061
FLC,4384,4384
FLEV1,4384,13151
FLEV2,4384,13152
FLEV3,4384,17536
FLEV4,4384,35069
FLC,4385,4385
FLEV1,4385,13154
FLEV2,4385,13155
FLEV3,4385,17540
FLEV4,4385,35077
FLC,4386,4386
FLEV1,4386,13157
FLEV2,4386,13158
FLEV3,4386,17544
FLEV4,4386,35085
FLC,4387,4387
FLEV1,4387,13160
FLEV2,4387,13161
FLEV3,4387,17548
FLEV4,4387,35093
FLC,4388,4388
FLEV1,4388,13163
FLEV2,4388,13164
FLEV3,4388,17552
FLEV4,4388,35101
FLC,4389,4389
FLEV1,4389,13166
FLEV2,4389,13167
FLEV3,4389,17556
FLEV4,4389,35109
FLC,4390,4390
FLEV1,4390,13169
FLEV2,4390,13170
FLEV3,4390,17560
FLEV4,4390,35117
FLC,4391,4391
FLEV1,4391,13172
FLEV2,4391,13173
FLEV3,4391,17564
FLEV4,4391,35125
FLC,4392,4392
FLEV1,4392,13175
FLEV2,4392,13176
FLEV3,4392,17568
FLEV4,4392,35133
FLC,4393,4393
FLEV1,4393,13178
FLEV2,4393,13179
FLEV3,4393,17572
FLEV4,4393,35141
FLC,4394,4394
FLEV1,4394,13181
FLEV2,4394,13182
FLEV3,4394,17576
FLEV4,4394,35149
FLC,4395,4395
FLEV1,4395,13184
FLEV2,4395,13185
FLEV3,4395,17580
FLEV4,4395,35157
FLC,4396,4396
FLEV1,4396,13187
FLEV2,4396,13188
FLEV3,4396,17584
FLEV4,4396,35165
FLC,4397,4397
FLEV1,4397,13190
FLEV2,4397,13191
FLEV3,4397,17588
FLEV4,4397,35173
FLC,4398,4398
FLEV1,4398,13193
FLEV2,4398,13194
FLEV3,4398,17592
FLEV4,4398,35181
FLC,4399,4399
FLEV1,4399,13196
FLEV2,4399,13197
FLEV3,4399,17596
FLEV4,4399,35189
FLC,4400,4400
FLEV1,4400,13199
FLEV2,4400,13200
FLEV3,4400,17600
FLEV4,4400,35197
FLC,4401,4401
FLEV1,4401,13202
FLEV2,4401,13203
FLEV3,4401,17604
FLEV4,4401,35205
FLC,4402,4402
FLEV1,4402,13205
FLEV2,4402,13206
FLEV3,4402,17608
FLEV4,4402,35213
FLC,4403,4403
FLEV1,4403,13208
FLEV2,4403,13209
FLEV3,4403,17612
FLEV4,4403,35221
FLC,4404,4404
FLEV1,4404,13211
FLEV2,4404,13212
FLEV3,4404,17616
FLEV4,4404,35229
FLC,4405,4405
FLEV1,4405,13214
FLEV2,4405,13215
FLEV3,4405,17620
FLEV4,4405,35237
FLC,4406,4406
FLEV1,4406,13217
FLEV2,4406,13218
FLEV3,4406,17624
FLEV4,4406,35245
FLC,4407,4407
FLEV1,4407,13220
FLEV2,4407,13221
FLEV3,4407,17628
FLEV4,4407,35253
FLC,4408,4408
FLEV1,4408,13223
FLEV2,4408,13224
FLEV3,4408,17632
FLEV4,4408,35261
FLC,4409,4409
FLEV1,4409,13226
FLEV2,4409,13227
FLEV3,4409,17636
FLEV4,4409,35269
FLC,4410,4410
FLEV1,4410,13229
FLEV2,4410,13230
FLEV3,4410,17640
FLEV4,4410,35277
FLC,4411,4411
FLEV1,4411,13232
FLEV2,4411,13233
FLEV3,4411,17644
FLEV4,4411,35285
FLC,4412,4412
FLEV1,4412,13235
FLEV2,4412,13236
FLEV3,4412,17648
FLEV4,4412,35293
FLC,4413,4413
FLEV1,4413,13238
FLEV2,4413,13239
FLEV3,4413,17652
FLEV4,4413,35301
FLC,4414,4414
FLEV1,4414,13241
FLEV2,4414,13242
FLEV3,4414,17656
FLEV4,4414,35309
FLC,4415,4415
FLEV1,4415,13244
FLEV2,4415,13245
FLEV3,4415,17660
FLEV4,4415,35317
FLC,4416,4416
FLEV1,4416,13247
FLEV2,4416,13248
FLEV3,4416,17664
FLEV4,4416,35325
FLC,4417,4417
FLEV1,4417,13250
FLEV2,4417,13251
FLEV3,4417,17668
FLEV4,4417,35333
FLC,4418,4418
FLEV1,4418,13253
FLEV2,4418,13254
FLEV3,4418,17672
FLEV4,4418,35341
FLC,4419,4419
FLEV1,4419,13256
FLEV2,4419,13257
FLEV3,4419,17676
FLEV4,4419,35349
FLC,4420,4420
FLEV1,4420,13259
FLEV2,4420,13260
FLEV3,4420,17680
FLEV4,4420,35357
FLC,4421,4421
FLEV1,4421,13262
FLEV2,4421,13263
FLEV3,4421,17684
FLEV4,4421,35365
FLC,4422,4422
FLEV1,4422,13265
FLEV2,4422,13266
FLEV3,4422,17688
FLEV4,4422,35373
FLC,4423,4423
FLEV1,4423,13268
FLEV2,4423,13269
FLEV3,4423,17692
FLEV4,4423,35381
FLC,4424,4424
FLEV1,4424,13271
FLEV2,4424,13272
FLEV3,4424,17696
FLEV4,4424,35389
FLC,4425,4425
FLEV1,4425,13274
FLEV2,4425,13275
FLEV3,4425,17700
FLEV4,4425,35397
FLC,4426,4426
FLEV1,4426,13277
FLEV2,4426,13278
FLEV3,4426,17704
FLEV4,4426,35405
FLC,4427,4427
FLEV1,4427,13280
FLEV2,4427,13281
FLEV3,4427,17708
FLEV4,4427,35413
FLC,4428,4428
FLEV1,4428,13283
FLEV2,4428,13284
FLEV3,4428,17712
FLEV4,4428,35421
FLC,4429,4429
FLEV1,4429,13286
FLEV2,4429,13287
FLEV3,4429,17716
FLEV4,4429,35429
FLC,4430,4430
FLEV1,4430,13289
FLEV2,4430,13290
FLEV3,4430,17720
FLEV4,4430,35437
FLC,4431,4431
FLEV1,4431,13292
FLEV2,4431,13293
FLEV3,4431,17724
FLEV4,4431,35445
FLC,4432,4432
FLEV1,4432,13295
FLEV2,4432,13296
FLEV3,4432,17728
FLEV4,4432,35453
FLC,4433,4433
FLEV1,4433,13298
FLEV2,4433,13299
FLEV3,4433,17732
FLEV4,4433,35461
FLC,4434,4434
FLEV1,4434,13301
FLEV2,4434,13302
FLEV3,4434,17736
FLEV4,4434,35469
FLC,4435,4435
FLEV1,4435,13304
FLEV2,4435,13305
FLEV3,4435,17740
FLEV4,4435,35477
FLC,4436,4436
FLEV1,4436,13307
FLEV2,4436,13308
FLEV3,4436,17744
FLEV4,4436,35485
FLC,4437,4437
FLEV1,4437,13310
FLEV2,4437,13311
FLEV3,4437,17748
FLEV4,4437,35493
FLC,4438,4438
FLEV1,4438,13313
FLEV2,4438,13314
FLEV3,4438,17752
FLEV4,4438,35501
FLC,4439,4439
FLEV1,4439,13316
FLEV2,4439,13317
FLEV3,4439,17756
FLEV4,4439,35509
FLC,4440,4440
FLEV1,4440,13319
FLEV2,4440,13320
FLEV3,4440,17760
FLEV4,4440,35517
FLC,4441,4441
FLEV1,4441,13322
FLEV2,4441,13323
FLEV3,4441,17764
FLEV4,4441,35525
FLC,4442,4442
FLEV1,4442,13325
FLEV2,4442,13326
FLEV3,4442,17768
FLEV4,4442,35533
FLC,4443,4443
FLEV1,4443,13328
FLEV2,4443,13329
FLEV3,4443,17772
FLEV4,4443,35541
FLC,4444,4444
FLEV1,4444,13331
FLEV2,4444,13332
FLEV3,4444,17776
FLEV4,4444,35549
FLC,4445,4445
FLEV1,4445,13334
FLEV2,4445,13335
FLEV3,4445,17780
FLEV4,4445,35557
FLC,4446,4446
FLEV1,4446,13337
FLEV2,4446,13338
FLEV3,4446,17784
FLEV4,4446,35565
FLC,4447,4447
FLEV1,4447,13340
FLEV2,4447,13341
FLEV3,4447,17788
FLEV4,4447,35573
FLC,4448,4448
FLEV1,4448,13343
FLEV2,4448,13344
FLEV3,4448,17792
FLEV4,4448,35581
FLC,4449,4449
FLEV1,4449,13346
FLEV2,4449,13347
FLEV3,4449,17796
FLEV4,4449,35589
FLC,4450,4450
FLEV1,4450,13349
FLEV2,4450,13350
FLEV3,4450,17800
FLEV4,4450,35597
FLC,4451,4451
FLEV1,4451,13352
FLEV2,4451,13353
FLEV3,4451,17804
FLEV4,4451,35605
FLC,4452,4452
FLEV1,4452,13355
FLEV2,4452,13356
FLEV3,4452,17808
FLEV4,4452,35613
FLC,4453,4453
FLEV1,4453,13358
FLEV2,4453,13359
FLEV3,4453,17812
FLEV4,4453,35621
FLC,4454,4454
FLEV1,4454,13361
FLEV2,4454,13362
FLEV3,4454,17816
FLEV4,4454,35629
FLC,4455,4455
FLEV1,4455,13364
FLEV2,4455,13365
FLEV3,4455,17820
FLEV4,4455,35637
FLC,4456,4456
FLEV1,4456,13367
FLEV2,4456,13368
FLEV3,4456,17824
FLEV4,4456,35645
FLC,4457,4457
FLEV1,4457,13370
FLEV2,4457,13371
FLEV3,4457,17828
FLEV4,4457,35653
FLC,4458,4458
FLEV1,4458,13373
FLEV2,4458,13374
FLEV3,4458,17832
FLEV4,4458,35661
FLC,4459,4459
FLEV1,4459,13376
FLEV2,4459,13377
FLEV3,4459,17836
FLEV4,4459,35669
FLC,4460,4460
FLEV1,4460,13379
FLEV2,4460,13380
FLEV3,4460,17840
FLEV4,4460,35677
FLC,4461,4461
FLEV1,4461,13382
FLEV2,4461,13383
FLEV3,4461,17844
FLEV4,4461,35685
FLC,4462,4462
FLEV1,4462,13385
FLEV2,4462,13386
FLEV3,4462,17848
FLEV4,4462,35693
FLC,4463,4463
FLEV1,4463,13388
FLEV2,4463,13389
FLEV3,4463,17852
FLEV4,4463,35701
FLC,4464,4464
FLEV1,4464,13391
FLEV2,4464,13392
FLEV3,4464,17856
FLEV4,4464,35709
FLC,4465,4465
FLEV1,4465,13394
FLEV2,4465,13395
FLEV3,4465,17860
FLEV4,4465,35717
FLC,4466,4466
FLEV1,4466,13397
FLEV2,4466,13398
FLEV3,4466,17864
FLEV4,4466,35725
FLC,4467,4467
FLEV1,4467,13400
FLEV2,4467,13401
FLEV3,4467,17868
FLEV4,4467,35733
FLC,4468,4468
FLEV1,4468,13403
FLEV2,4468,13404
FLEV3,4468,17872
FLEV4,4468,35741
FLC,4469,4469
FLEV1,4469,13406
FLEV2,4469,13407
FLEV3,4469,17876
FLEV4,4469,35749
FLC,4470,4470
FLEV1,4470,13409
FLEV2,4470,13410
FLEV3,4470,17880
FLEV4,4470,35757
FLC,4471,4471
FLEV1,4471,13412
FLEV2,4471,13413
FLEV3,4471,17884
FLEV4,4471,35765
FLC,4472,4472
FLEV1,4472,13415
FLEV2,4472,13416
FLEV3,4472,17888
FLEV4,4472,35773
FLC,4473,4473
FLEV1,4473,13418
FLEV2,4473,13419
FLEV3,4473,17892
FLEV4,4473,35781
FLC,4474,4474
FLEV1,4474,13421
FLEV2,4474,13422
FLEV3,4474,17896
FLEV4,4474,35789
FLC,4475,4475
FLEV1,4475,13424
FLEV2,4475,13425
FLEV3,4475,17900
FLEV4,4475,35797
FLC,4476,4476
FLEV1,4476,13427
FLEV2,4476,13428
FLEV3,4476,17904
FLEV4,4476,35805
FLC,4477,4477
FLEV1,4477,13430
FLEV2,4477,13431
FLEV3,4477,17908
FLEV4,4477,35813
FLC,4478,4478
FLEV1,4478,13433
FLEV2,4478,13434
FLEV3,4478,17912
FLEV4,4478,35821
FLC,4479,4479
FLEV1,4479,13436
FLEV2,4479,13437
FLEV3,4479,17916
FLEV4,4479,35829
FLC,4480,4480
FLEV1,4480,13439
FLEV2,4480,13440
FLEV3,4480,17920
FLEV4,4480,35837
FLC,4481,4481
FLEV1,4481,13442
FLEV2,4481,13443
FLEV3,4481,17924
FLEV4,4481,35845
FLC,4482,4482
FLEV1,4482,13445
FLEV2,4482,13446
FLEV3,4482,17928
FLEV4,4482,35853
FLC,4483,4483
FLEV1,4483,13448
FLEV2,4483,13449
FLEV3,4483,17932
FLEV4,4483,35861
FLC,4484,4484
FLEV1,4484,13451
FLEV2,4484,13452
FLEV3,4484,17936
FLEV4,4484,35869
FLC,4485,4485
FLEV1,4485,13454
FLEV2,4485,13455
FLEV3,4485,17940
FLEV4,4485,35877
FLC,4486,4486
FLEV1,4486,13457
FLEV2,4486,13458
FLEV3,4486,17944
FLEV4,4486,35885
FLC,4487,4487
FLEV1,4487,13460
FLEV2,4487,13461
FLEV3,4487,17948
FLEV4,4487,35893
FLC,4488,4488
FLEV1,4488,13463
FLEV2,4488,13464
FLEV3,4488,17952
FLEV4,4488,35901
FLC,4489,4489
FLEV1,4489,13466
FLEV2,4489,13467
FLEV3,4489,17956
FLEV4,4489,35909
FLC,4490,4490
FLEV1,4490,13469
FLEV2,4490,13470
FLEV3,4490,17960
FLEV4,4490,35917
FLC,4491,4491
FLEV1,4491,13472
FLEV2,4491,13473
FLEV3,4491,17964
FLEV4,4491,35925
FLC,4492,4492
FLEV1,4492,13475
FLEV2,4492,13476
FLEV3,4492,17968
FLEV4,4492,35933
FLC,4493,4493
FLEV1,4493,13478
FLEV2,4493,13479
FLEV3,4493,17972
FLEV4,4493,35941
FLC,4494,4494
FLEV1,4494,13481
FLEV2,4494,13482
FLEV3,4494,17976
FLEV4,4494,35949
FLC,4495,4495
FLEV1,4495,13484
FLEV2,4495,13485
FLEV3,4495,17980
FLEV4,4495,35957
FLC,4496,4496
FLEV1,4496,13487
FLEV2,4496,13488
FLEV3,4496,17984
FLEV4,4496,35965
FLC,4497,4497
FLEV1,4497,13490
FLEV2,4497,13491
FLEV3,4497,17988
FLEV4,4497,35973
FLC,4498,4498
FLEV1,4498,13493
FLEV2,4498,13494
FLEV3,4498,17992
FLEV4,4498,35981
FLC,4499,4499
FLEV1,4499,13496
FLEV2,4499,13497
FLEV3,4499,17996
FLEV4,4499,35989
FLC,4500,4500
FLEV1,4500,13499
FLEV2,4500,13500
FLEV3,4500,18000
FLEV4,4500,35997
FLC,4501,4501
FLEV1,4501,13502
FLEV2,4501,13503
FLEV3,4501,18004
FLEV4,4501,36005
FLC,4502,4502
FLEV1,4502,13505
FLEV2,4502,13506
FLEV3,4502,18008
FLEV4,4502,36013
FLC,4503,4503
FLEV1,4503,13508
FLEV2,4503,13509
FLEV3,4503,18012
FLEV4,4503,36021
FLC,4504,4504
FLEV1,4504,13511
FLEV2,4504,13512
FLEV3,4504,18016
FLEV4,4504,36029
FLC,4505,4505
FLEV1,4505,13514
FLEV2,4505,13515
FLEV3,4505,18020
FLEV4,4505,36037
FLC,4506,4506
FLEV1,4506,13517
FLEV2,4506,13518
FLEV3,4506,18024
FLEV4,4506,36045
FLC,4507,4507
FLEV1,4507,13520
FLEV2,4507,13521
FLEV3,4507,18028
FLEV4,4507,36053
FLC,4508,4508
FLEV1,4508,13523
FLEV2,4508,13524
FLEV3,4508,18032
FLEV4,4508,36061
FLC,4509,4509
FLEV1,4509,13526
FLEV2,4509,13527
FLEV3,4509,18036
FLEV4,4509,36069
FLC,4510,4510
FLEV1,4510,13529
FLEV2,4510,13530
FLEV3,4510,18040
FLEV4,4510,36077
FLC,4511,4511
FLEV1,4511,13532
FLEV2,4511,13533
FLEV3,4511,18044
FLEV4,4511,36085
FLC,4512,4512
FLEV1,4512,13535
FLEV2,4512,13536
FLEV3,4512,18048
FLEV4,4512,36093
FLC,4513,4513
FLEV1,4513,13538
FLEV2,4513,13539
FLEV3,4513,18052
FLEV4,4513,36101
FLC,4514,4514
FLEV1,4514,13541
FLEV2,4514,13542
FLEV3,4514,18056
FLEV4,4514,36109
FLC,4515,4515
FLEV1,4515,13544
FLEV2,4515,13545
FLEV3,4515,18060
FLEV4,4515,36117
FLC,4516,4516
FLEV1,4516,13547
FLEV2,4516,13548
FLEV3,4516,18064
FLEV4,4516,36125
FLC,4517,4517
FLEV1,4517,13550
FLEV2,4517,13551
FLEV3,4517,18068
FLEV4,4517,36133
FLC,4518,4518
FLEV1,4518,13553
FLEV2,4518,13554
FLEV3,4518,18072
FLEV4,4518,36141
FLC,4519,4519
FLEV1,4519,13556
FLEV2,4519,13557
FLEV3,4519,18076
FLEV4,4519,36149
FLC,4520,4520
FLEV1,4520,13559
FLEV2,4520,13560
FLEV3,4520,18080
FLEV4,4520,36157
FLC,4521,4521
FLEV1,4521,13562
FLEV2,4521,13563
FLEV3,4521,18084
FLEV4,4521,36165
FLC,4522,4522
FLEV1,4522,13565
FLEV2,4522,13566
FLEV3,4522,18088
FLEV4,4522,36173
FLC,4523,4523
FLEV1,4523,13568
FLEV2,4523,13569
FLEV3,4523,18092
FLEV4,4523,36181
FLC,4524,4524
FLEV1,4524,13571
FLEV2,4524,13572
FLEV3,4524,18096
FLEV4,4524,36189
FLC,4525,4525
FLEV1,4525,13574
FLEV2,4525,13575
FLEV3,4525,18100
FLEV4,4525,36197
FLC,4526,4526
FLEV1,4526,13577
FLEV2,4526,13578
FLEV3,4526,18104
FLEV4,4526,36205
FLC,4527,4527
FLEV1,4527,13580
FLEV2,4527,13581
FLEV3,4527,18108
FLEV4,4527,36213
FLC,4528,4528
FLEV1,4528,13583
FLEV2,4528,13584
FLEV3,4528,18112
FLEV4,4528,36221
FLC,4529,4529
FLEV1,4529,13586
FLEV2,4529,13587
FLEV3,4529,18116
FLEV4,4529,36229
FLC,4530,4530
FLEV1,4530,13589
FLEV2,4530,13590
FLEV3,4530,18120
FLEV4,4530,36237
FLC,4531,4531
FLEV1,4531,13592
FLEV2,4531,13593
FLEV3,4531,18124
FLEV4,4531,36245
FLC,4532,4532
FLEV1,4532,13595
FLEV2,4532,13596
FLEV3,4532,18128
FLEV4,4532,36253
FLC,4533,4533
FLEV1,4533,13598
FLEV2,4533,13599
FLEV3,4533,18132
FLEV4,4533,36261
FLC,4534,4534
FLEV1,4534,13601
FLEV2,4534,13602
FLEV3,4534,18136
FLEV4,4534,36269
FLC,4535,4535
FLEV1,4535,13604
FLEV2,4535,13605
FLEV3,4535,18140
FLEV4,4535,36277
FLC,4536,4536
FLEV1,4536,13607
FLEV2,4536,13608
FLEV3,4536,18144
FLEV4,4536,36285
FLC,4537,4537
FLEV1,4537,13610
FLEV2,4537,13611
FLEV3,4537,18148
FLEV4,4537,36293
FLC,4538,4538
FLEV1,4538,13613
FLEV2,4538,13614
FLEV3,4538,18152
FLEV4,4538,36301
FLC,4539,4539
FLEV1,4539,13616
FLEV2,4539,13617
FLEV3,4539,18156
FLEV4,4539,36309
FLC,4540,4540
FLEV1,4540,13619
FLEV2,4540,13620
FLEV3,4540,18160
FLEV4,4540,36317
FLC,4541,4541
FLEV1,4541,13622
FLEV2,4541,13623
FLEV3,4541,18164
FLEV4,4541,36325
FLC,4542,4542
FLEV1,4542,13625
FLEV2,4542,13626
FLEV3,4542,18168
FLEV4,4542,36333
FLC,4543,4543
FLEV1,4543,13628
FLEV2,4543,13629
FLEV3,4543,18172
FLEV4,4543,36341
FLC,4544,4544
FLEV1,4544,13631
FLEV2,4544,13632
FLEV3,4544,18176
FLEV4,4544,36349
FLC,4545,4545
FLEV1,4545,13634
FLEV2,4545,13635
FLEV3,4545,18180
FLEV4,4545,36357
FLC,4546,4546
FLEV1,4546,13637
FLEV2,4546,13638
FLEV3,4546,18184
FLEV4,4546,36365
FLC,4547,4547
FLEV1,4547,13640
FLEV2,4547,13641
FLEV3,4547,18188
FLEV4,4547,36373
FLC,4548,4548
FLEV1,4548,13643
FLEV2,4548,13644
FLEV3,4548,18192
FLEV4,4548,36381
FLC,4549,4549
FLEV1,4549,13646
FLEV2,4549,13647
FLEV3,4549,18196
FLEV4,4549,36389
FLC,4550,4550
FLEV1,4550,13649
FLEV2,4550,13650
FLEV3,4550,18200
FLEV4,4550,36397
FLC,4551,4551
FLEV1,4551,13652
FLEV2,4551,13653
FLEV3,4551,18204
FLEV4,4551,36405
FLC,4552,4552
FLEV1,4552,13655
FLEV2,4552,13656
FLEV3,4552,18208
FLEV4,4552,36413
FLC,4553,4553
FLEV1,4553,13658
FLEV2,4553,13659
FLEV3,4553,18212
FLEV4,4553,36421
FLC,4554,4554
FLEV1,4554,13661
FLEV2,4554,13662
FLEV3,4554,18216
FLEV4,4554,36429
FLC,4555,4555
FLEV1,4555,13664
FLEV2,4555,13665
FLEV3,4555,18220
FLEV4,4555,36437
FLC,4556,4556
FLEV1,4556,13667
FLEV2,4556,13668
FLEV3,4556,18224
FLEV4,4556,36445
FLC,4557,4557
FLEV1,4557,13670
FLEV2,4557,13671
FLEV3,4557,18228
FLEV4,4557,36453
FLC,4558,4558
FLEV1,4558,13673
FLEV2,4558,13674
FLEV3,4558,18232
FLEV4,4558,36461
FLC,4559,4559
FLEV1,4559,13676
FLEV2,4559,13677
FLEV3,4559,18236
FLEV4,4559,36469
FLC,4560,4560
FLEV1,4560,13679
FLEV2,4560,13680
FLEV3,4560,18240
FLEV4,4560,36477
FLC,4561,4561
FLEV1,4561,13682
FLEV2,4561,13683
FLEV3,4561,18244
FLEV4,4561,36485
FLC,4562,4562
FLEV1,4562,13685
FLEV2,4562,13686
FLEV3,4562,18248
FLEV4,4562,36493
FLC,4563,4563
FLEV1,4563,13688
FLEV2,4563,13689
FLEV3,4563,18252
FLEV4,4563,36501
FLC,4564,4564
FLEV1,4564,13691
FLEV2,4564,13692
FLEV3,4564,18256
FLEV4,4564,36509
FLC,4565,4565
FLEV1,4565,13694
FLEV2,4565,13695
FLEV3,4565,18260
FLEV4,4565,36517
FLC,4566,4566
FLEV1,4566,13697
FLEV2,4566,13698
FLEV3,4566,18264
FLEV4,4566,36525
FLC,4567,4567
FLEV1,4567,13700
FLEV2,4567,13701
FLEV3,4567,18268
FLEV4,4567,36533
FLC,4568,4568
FLEV1,4568,13703
FLEV2,4568,13704
FLEV3,4568,18272
FLEV4,4568,36541
FLC,4569,4569
FLEV1,4569,13706
FLEV2,4569,13707
FLEV3,4569,18276
FLEV4,4569,36549
FLC,4570,4570
FLEV1,4570,13709
FLEV2,4570,13710
FLEV3,4570,18280
FLEV4,4570,36557
FLC,4571,4571
FLEV1,4571,13712
FLEV2,4571,13713
FLEV3,4571,18284
FLEV4,4571,36565
FLC,4572,4572
FLEV1,4572,13715
FLEV2,4572,13716
FLEV3,4572,18288
FLEV4,4572,36573
FLC,4573,4573
FLEV1,4573,13718
FLEV2,4573,13719
FLEV3,4573,18292
FLEV4,4573,36581
FLC,4574,4574
FLEV1,4574,13721
FLEV2,4574,13722
FLEV3,4574,18296
FLEV4,4574,36589
FLC,4575,4575
FLEV1,4575,13724
FLEV2,4575,13725
FLEV3,4575,18300
FLEV4,4575,36597
FLC,4576,4576
FLEV1,4576,13727
FLEV2,4576,13728
FLEV3,4576,18304
FLEV4,4576,36605
FLC,4577,4577
FLEV1,4577,13730
FLEV2,4577,13731
FLEV3,4577,18308
FLEV4,4577,36613
FLC,4578,4578
FLEV1,4578,13733
FLEV2,4578,13734
FLEV3,4578,18312
FLEV4,4578,36621
FLC,4579,4579
FLEV1,4579,13736
FLEV2,4579,13737
FLEV3,4579,18316
FLEV4,4579,36629
FLC,4580,4580
FLEV1,4580,13739
FLEV2,4580,13740
FLEV3,4580,18320
FLEV4,4580,36637
FLC,4581,4581
FLEV1,4581,13742
FLEV2,4581,13743
FLEV3,4581,18324
FLEV4,4581,36645
FLC,4582,4582
FLEV1,4582,13745
FLEV2,4582,13746
FLEV3,4582,18328
FLEV4,4582,36653
FLC,4583,4583
FLEV1,4583,13748
FLEV2,4583,13749
FLEV3,4583,18332
FLEV4,4583,36661
FLC,4584,4584
FLEV1,4584,13751
FLEV2,4584,13752
FLEV3,4584,18336
FLEV4,4584,36669
FLC,4585,4585
FLEV1,4585,13754
FLEV2,4585,13755
FLEV3,4585,18340
FLEV4,4585,36677
FLC,4586,4586
FLEV1,4586,13757
FLEV2,4586,13758
FLEV3,4586,18344
FLEV4,4586,36685
FLC,4587,4587
FLEV1,4587,13760
FLEV2,4587,13761
FLEV3,4587,18348
FLEV4,4587,36693
FLC,4588,4588
FLEV1,4588,13763
FLEV2,4588,13764
FLEV3,4588,18352
FLEV4,4588,36701
FLC,4589,4589
FLEV1,4589,13766
FLEV2,4589,13767
FLEV3,4589,18356
FLEV4,4589,36709
FLC,4590,4590
FLEV1,4590,13769
FLEV2,4590,13770
FLEV3,4590,18360
FLEV4,4590,36717
FLC,4591,4591
FLEV1,4591,13772
FLEV2,4591,13773
FLEV3,4591,18364
FLEV4,4591,36725
FLC,4592,4592
FLEV1,4592,13775
FLEV2,4592,13776
FLEV3,4592,18368
FLEV4,4592,36733
FLC,4593,4593
FLEV1,4593,13778
FLEV2,4593,13779
FLEV3,4593,18372
FLEV4,4593,36741
FLC,4594,4594
FLEV1,4594,13781
FLEV2,4594,13782
FLEV3,4594,18376
FLEV4,4594,36749
FLC,4595,4595
FLEV1,4595,13784
FLEV2,4595,13785
FLEV3,4595,18380
FLEV4,4595,36757
FLC,4596,4596
FLEV1,4596,13787
FLEV2,4596,13788
FLEV3,4596,18384
FLEV4,4596,36765
FLC,4597,4597
FLEV1,4597,13790
FLEV2,4597,13791
FLEV3,4597,18388
FLEV4,4597,36773
FLC,4598,4598
FLEV1,4598,13793
FLEV2,4598,13794
FLEV3,4598,18392
FLEV4,4598,36781
FLC,4599,4599
FLEV1,4599,13796
FLEV2,4599,13797
FLEV3,4599,18396
FLEV4,4599,36789
FLC,4600,4600
FLEV1,4600,13799
FLEV2,4600,13800
FLEV3,4600,18400
FLEV4,4600,36797
FLC,4601,4601
FLEV1,4601,13802
FLEV2,4601,13803
FLEV3,4601,18404
FLEV4,4601,36805
FLC,4602,4602
FLEV1,4602,13805
FLEV2,4602,13806
FLEV3,4602,18408
FLEV4,4602,36813
FLC,4603,4603
FLEV1,4603,13808
FLEV2,4603,13809
FLEV3,4603,18412
FLEV4,4603,36821
FLC,4604,4604
FLEV1,4604,13811
FLEV2,4604,13812
FLEV3,4604,18416
FLEV4,4604,36829
FLC,4605,4605
FLEV1,4605,13814
FLEV2,4605,13815
FLEV3,4605,18420
FLEV4,4605,36837
FLC,4606,4606
FLEV1,4606,13817
FLEV2,4606,13818
FLEV3,4606,18424
FLEV4,4606,36845
FLC,4607,4607
FLEV1,4607,13820
FLEV2,4607,13821
FLEV3,4607,18428
FLEV4,4607,36853
FLC,4608,4608
FLEV1,4608,13823
FLEV2,4608,13824
FLEV3,4608,18432
FLEV4,4608,36861
FLC,4609,4609
FLEV1,4609,13826
FLEV2,4609,13827
FLEV3,4609,18436
FLEV4,4609,36869
FLC,4610,4610
FLEV1,4610,13829
FLEV2,4610,13830
FLEV3,4610,18440
FLEV4,4610,36877
FLC,4611,4611
FLEV1,4611,13832
FLEV2,4611,13833
FLEV3,4611,18444
FLEV4,4611,36885
FLC,4612,4612
FLEV1,4612,13835
FLEV2,4612,13836
FLEV3,4612,18448
FLEV4,4612,36893
FLC,4613,4613
FLEV1,4613,13838
FLEV2,4613,13839
FLEV3,4613,18452
FLEV4,4613,36901
FLC,4614,4614
FLEV1,4614,13841
FLEV2,4614,13842
